Nama,Rating,Waktu,Review,case folding,tokenizing,stopword,stemming,topic_0_prob,topic_1_prob,dominant_topic,label,sentimen
Rinarani1990,1,2025-03-07 05:55:18,Lemot banget aplikasinya dari dulu kok tidak diperbaiki sih,lemot banget aplikasinya dari dulu kok tidak diperbaiki sih,"['lemot', 'banget', 'aplikasinya', 'dari', 'dulu', 'kok', 'tidak', 'diperbaiki', 'sih']","['lemot', 'banget', 'aplikasinya', 'diperbaiki', 'sih']",['lot banget aplikasi baik sih'],0.7982953924006577,0.2017046075993423,0,1,Positif
Lasckar Garissham,1,2025-02-25 23:16:07,"Aplikasi lemot parah. Lokasi selalu jauh. Drivernya juga beberapa lemot. Waktu itu pernah lihat di ig promo apa gitu waktu diorder harga ga sesuai. Kirain harga fix mana kalo order driver udah lama, mana jauh lagi.",aplikasi lemot parah lokasi selalu jauh drivernya juga beberapa lemot waktu itu pernah lihat di ig promo apa gitu waktu diorder harga ga sesuai kirain harga fix mana kalo order driver udah lama mana jauh lagi ,"['aplikasi', 'lemot', 'parah', 'lokasi', 'selalu', 'jauh', 'drivernya', 'juga', 'beberapa', 'lemot', 'waktu', 'itu', 'pernah', 'lihat', 'di', 'ig', 'promo', 'apa', 'gitu', 'waktu', 'diorder', 'harga', 'ga', 'sesuai', 'kirain', 'harga', 'fix', 'mana', 'kalo', 'order', 'driver', 'udah', 'lama', 'mana', 'jauh', 'lagi']","['aplikasi', 'lemot', 'parah', 'lokasi', 'drivernya', 'lemot', 'lihat', 'ig', 'promo', 'gitu', 'diorder', 'harga', 'ga', 'sesuai', 'kirain', 'harga', 'fix', 'kalo', 'order', 'driver', 'udah']",['aplikasi lot parah lokasi drivernya lot lihat ig promo gitu order harga ga sesuai kirain harga fix kalo order driver udah'],0.80441919113311,0.19558080886689,0,1,Negatif
Khafizatun Nadia,1,2025-02-25 15:57:16,Gabisa digunan pointnya.. tipu tipu,gabisa digunan pointnya tipu tipu,"['gabisa', 'digunan', 'pointnya', 'tipu', 'tipu']","['gabisa', 'digunan', 'pointnya', 'tipu', 'tipu']",['gabisa gun point tipu tipu'],0.4078668249619625,0.5921331750380375,1,0,Negatif
Aa Aa,5,2025-02-23 11:34:47,"Mari kita lihat kalau ojek jadi karyawan kontrak setelah peraturan disahkan, apa jogjakita akan mau menggaji drivernya perbulan. Kalo iya pasti sukses deh karena grab sama gojek pasti bakal bangkrut. Semoga sesuai dengan visi misi dan slogannya. Sukses terus jogjakita.",mari kita lihat kalau ojek jadi karyawan kontrak setelah peraturan disahkan apa jogjakita akan mau menggaji drivernya perbulan kalo iya pasti sukses deh karena grab sama gojek pasti bakal bangkrut semoga sesuai dengan visi misi dan slogannya sukses terus jogjakita ,"['mari', 'kita', 'lihat', 'kalau', 'ojek', 'jadi', 'karyawan', 'kontrak', 'setelah', 'peraturan', 'disahkan', 'apa', 'jogjakita', 'akan', 'mau', 'menggaji', 'drivernya', 'perbulan', 'kalo', 'iya', 'pasti', 'sukses', 'deh', 'karena', 'grab', 'sama', 'gojek', 'pasti', 'bakal', 'bangkrut', 'semoga', 'sesuai', 'dengan', 'visi', 'misi', 'dan', 'slogannya', 'sukses', 'terus', 'jogjakita']","['mari', 'lihat', 'ojek', 'karyawan', 'kontrak', 'peraturan', 'disahkan', 'jogjakita', 'menggaji', 'drivernya', 'perbulan', 'kalo', 'iya', 'sukses', 'deh', 'grab', 'gojek', 'bangkrut', 'semoga', 'sesuai', 'visi', 'misi', 'slogannya', 'sukses', 'jogjakita']",['mari lihat ojek karyawan kontrak atur sah jogjakita gaji drivernya bulan kalo iya sukses deh grab gojek bangkrut moga sesuai visi misi slogan sukses jogjakita'],0.0648918029756813,0.9351081970243188,1,0,Positif
the_saint_ dans,1,2025-02-22 20:49:57,aplikasi gak jelas... bonus promo gak jelas... scam.. n report,aplikasi gak jelas bonus promo gak jelas scam report,"['aplikasi', 'gak', 'jelas', 'bonus', 'promo', 'gak', 'jelas', 'scam', 'report']","['aplikasi', 'gak', 'bonus', 'promo', 'gak', 'scam', 'report']",['aplikasi gak bonus promo gak scam report'],0.5687477860638102,0.4312522139361899,0,1,Negatif
Ari sekar Arum,1,2025-02-22 05:08:29,Maap ya tapi ini jujur mahal bngt asliii :) saya biasa pake apk sebelah 15k eh pake apk ini kok 45k yaampun sangat diluar nurul :) plus apk ngelag trus.,maap ya tapi ini jujur mahal bngt asliii saya biasa pake apk sebelah eh pake apk ini kok yaampun sangat diluar nurul plus apk ngelag trus ,"['maap', 'ya', 'tapi', 'ini', 'jujur', 'mahal', 'bngt', 'asliii', 'saya', 'biasa', 'pake', 'apk', 'sebelah', 'eh', 'pake', 'apk', 'ini', 'kok', 'yaampun', 'sangat', 'diluar', 'nurul', 'plus', 'apk', 'ngelag', 'trus']","['maap', 'ya', 'jujur', 'mahal', 'bngt', 'asliii', 'pake', 'apk', 'sebelah', 'eh', 'pake', 'apk', 'yaampun', 'diluar', 'nurul', 'plus', 'apk', 'ngelag', 'trus']",['maap ya jujur mahal bngt asliii pake apk belah eh pake apk yaampun luar nurul plus apk ngelag trus'],0.4797591309060092,0.5202408690939908,1,0,Negatif
Fajar Subekti,5,2025-02-13 00:28:53,baik,baik,['baik'],[],[''],0.5,0.5,0,1,Negatif
M Fathir,1,2025-02-12 04:04:03,"Penipuan bonus ini namanya,bonus cuma iming2 aja dan ga bisa di gunakan,blm apa2 udah bohong apalagi udah rame ntar,kalo ga mampu buat promo seadanya aja lah,ini kalo badan perlindungan konsumen tahu repot nanti.",penipuan bonus ini namanya bonus cuma iming aja dan ga bisa di gunakan blm apa udah bohong apalagi udah rame ntar kalo ga mampu buat promo seadanya aja lah ini kalo badan perlindungan konsumen tahu repot nanti ,"['penipuan', 'bonus', 'ini', 'namanya', 'bonus', 'cuma', 'iming', 'aja', 'dan', 'ga', 'bisa', 'di', 'gunakan', 'blm', 'apa', 'udah', 'bohong', 'apalagi', 'udah', 'rame', 'ntar', 'kalo', 'ga', 'mampu', 'buat', 'promo', 'seadanya', 'aja', 'lah', 'ini', 'kalo', 'badan', 'perlindungan', 'konsumen', 'tahu', 'repot', 'nanti']","['penipuan', 'bonus', 'namanya', 'bonus', 'iming', 'aja', 'ga', 'blm', 'udah', 'bohong', 'udah', 'rame', 'ntar', 'kalo', 'ga', 'promo', 'seadanya', 'aja', 'kalo', 'badan', 'perlindungan', 'konsumen', 'repot']",['tipu bonus nama bonus iming aja ga blm udah bohong udah rame ntar kalo ga promo ada aja kalo badan lindung konsumen repot'],0.974446741180935,0.0255532588190649,0,1,Negatif
Nanang Ceta,5,2025-02-11 08:02:05,terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']",['terima kasih'],0.8242593709245263,0.1757406290754737,0,1,Negatif
077_Ahmad,3,2025-02-10 10:10:18,"untuk jogjafoodnya kurang banget kirain harga fix rupanya masih belum, drivernya aja belum ngerti sistem baru katanya",untuk jogjafoodnya kurang banget kirain harga fix rupanya masih belum drivernya aja belum ngerti sistem baru katanya,"['untuk', 'jogjafoodnya', 'kurang', 'banget', 'kirain', 'harga', 'fix', 'rupanya', 'masih', 'belum', 'drivernya', 'aja', 'belum', 'ngerti', 'sistem', 'baru', 'katanya']","['jogjafoodnya', 'banget', 'kirain', 'harga', 'fix', 'drivernya', 'aja', 'ngerti', 'sistem']",['jogjafoodnya banget kirain harga fix drivernya aja ngerti sistem'],0.4644183913482683,0.5355816086517317,1,0,Positif
